9235;Trevor;Ariza;1;SF;"6'8"";215;2018-10-15;Miami, FL;USA;94;WAS;Washington;Wizards;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2772.png
9198;Darrell;Arthur;0;PF;"6'9"";235;1988-03-25;Dallas, TX;USA;99;DEN;Denver;Nuggets;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201589.png
9358;Omer;Asik;3;C;"7'0"";255;1986-07-03;Bursa;Turkey;89;CHI;Chicago;Bulls;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201600.png
9190;D.J.;Augustin;14;PG;"6'0"";183;1987-11-10;New Orleans, LA;USA;95;ORL;Orlando;Magic;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201571.png
15198;DeAndre;Ayton;22;C;"7'1"";250;1998-07-22;Nassau;Bahamas;104;PHX;Phoenix;Suns;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629028.png
9360;Luke;Babbitt;8;PF;"6'9"";225;1989-06-19;Cincinnati, OH;USA;92;MIA;Miami;Heat;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202337.png
13788;Dwayne;Bacon;7;SF;"6'7"";221;1995-08-30;Lakeland, FL;USA;93;CHA;Charlotte;Hornets;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628407.png
15199;Marvin;Bagley III;35;PF;"6'11"";234;1999-03-12;Tempe, AZ;USA;103;SAC;Sacramento;Kings;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628963.png
10102;Ron;Baker;31;PG;"6'4"";220;1993-03-28;Hays, KS;USA;94;WAS;Washington;Wizards;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627758.png
10131;Wade;Baldwin IV;4;G;"6'4"";202;1996-03-24;Belle Mead, NJ;USA;87;IND;Indiana;Pacers;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627735.png
13728;Lonzo;Ball;2;PG;"6'6"";190;1997-10-27;Anaheim, CA;USA;105;LAL;Los Angeles;Lakers;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png
15278;Mohamed;Bamba;5;C;"7'0"";225;1998-05-12;Harlem, NY;USA;95;ORL;Orlando;Magic;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628964.png
9180;J.J.;Barea;5;SG;"6'0"";185;1984-06-26;Mayaguez;Puerto Rico;108;DAL;Dallas;Mavericks;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200826.png
9220;Harrison;Barnes;40;SF;"6'8"";225;1992-05-28;Ames, IA;USA;103;SAC;Sacramento;Kings;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203084.png
9197;Will;Barton;5;SG;"6'6"";190;1991-01-06;Baltimore, MD;USA;99;DEN;Denver;Nuggets;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203115.png
15319;Keita;Bates-Diop;33;SF;"6'9"";223;1996-12-03;Sacramento, CA;USA;100;MIN;Minnesota;Timberwolves;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628966.png
9133;Nicolas;Batum;5;SF;"6'8"";200;1988-12-13;Lisieux;France;93;CHA;Charlotte;Hornets;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201587.png
9323;Jerryd;Bayless;0;PG;"6'3"";200;1988-08-19;Phoenix, AZ;USA;100;MIN;Minnesota;Timberwolves;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201573.png
9211;Aron;Baynes;46;C;"6'10"";260;1986-12-09;Gisborne;New Zealand;82;BOS;Boston;Celtics;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203382.png
9086;Kent;Bazemore;24;SG;"6'5"";201;1989-07-01;Kelford, NC;USA;91;ATL;Atlanta;Hawks;https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203145.png
